Latitude and Longitude,Class of Land,vh,vv
"(10.323727047081501, 105.2516346045924)",Rice,"[[0.007533404976129532, 0.004302008077502251], [0.009432337246835232, 0.006257448811084032]]","[[0.1683409959077835, 0.17701765894889832], [0.1368560642004013, 0.17274677753448486]]"
"(10.322364360592521, 105.27843410554115)",Rice,"[[0.013380496762692928, 0.025255776941776276, 0.033371176570653915], [0.020970409736037254, 0.02355152927339077, 0.026755457744002342]]","[[0.4089973270893097, 0.34577980637550354, 0.2620716989040375], [0.3644446134567261, 0.30635979771614075, 0.32429805397987366]]"
"(10.321455902933202, 105.25254306225168)",Rice,"[[0.0038261120207607746, 0.003234170377254486], [0.0024994108825922012, 0.00652813445776701], [0.005642778240144253, 0.011800367385149002]]","[[0.11616100370883942, 0.1291617453098297], [0.08502304553985596, 0.07655415683984756], [0.07660805433988571, 0.05649605393409729]]"
"(10.324181275911162, 105.25118037576274)",Rice,"[[0.0123076681047678, 0.02005084417760372], [0.016262445598840714, 0.020956456661224365]]","[[0.3495331108570099, 0.48730918765068054], [0.6491802334785461, 0.684225857257843]]"
"(10.324635504740822, 105.27389181724476)",Rice,"[[0.01703091897070408, 0.010187431238591671], [0.020613543689250946, 0.01475551351904869]]","[[0.4203006327152252, 0.3532888889312744], [0.3774372637271881, 0.3418481945991516]]"
"(10.323727047081501, 105.28070524968936)",Rice,"[[0.02854762226343155, 0.02469457872211933], [0.022003214806318283, 0.016675977036356926]]","[[0.2609858214855194, 0.21744050085544586], [0.32221052050590515, 0.22973418235778809]]"
"(10.325089733570481, 105.23937042619212)",Rice,"[[0.006520736031234264, 0.006144226063042879], [0.007891753688454628, 0.008189156651496887]]","[[0.09176895767450333, 0.10856021195650101], [0.2070387750864029, 0.20077326893806458]]"
"(10.324181275911162, 105.25390574874059)",Rice,"[[0.0075083705596625805, 0.0027904859744012356], [0.004386593587696552, 0.0027267206460237503]]","[[0.16593100130558014, 0.12360093742609024], [0.1530572921037674, 0.1416424810886383]]"
"(10.321001674103542, 105.24436694331814)",Rice,"[[0.007840354926884174, 0.006030422169715166, 0.0043590315617620945], [0.0077139888890087605, 0.00513039855286479, 0.004187380895018578]]","[[0.33214351534843445, 0.2463010549545288, 0.17751023173332214], [0.28546759486198425, 0.16371606290340424, 0.15622201561927795]]"
"(10.321001674103542, 105.2416415703403)",Rice,"[[0.005005266517400742, 0.00640809815376997], [0.004827155265957117, 0.00837227888405323]]","[[0.03588516265153885, 0.04432576149702072], [0.06929545849561691, 0.02936345525085926]]"
"(10.324635504740822, 105.25572266405916",Rice,"[[0.012518379837274551, 0.009103871881961823], [0.012387121096253395, 0.0152138601988554]]","[[0.02591020055115223, 0.08368002623319626], [0.04317684471607208, 0.09372377395629883]]"
"(10.321001674103542, 105.2334654514068)",Rice,"[[0.009143858216702938, 0.013863311149179935], [0.005577626172453165, 0.005589080508798361]]","[[0.31120407581329346, 0.24877779185771942], [0.19020742177963257, 0.13217490911483765]]"
"(10.32327281825184, 105.26753261362978)",Rice,"[[0.011075325310230255, 0.008285924792289734], [0.013229813426733017, 0.00793530885130167]]","[[0.3408568501472473, 0.3925195634365082], [0.3301820158958435, 0.4787447154521942]]"
"(10.324181275911162, 105.28115947851899)",Rice,"[[0.017025480046868324, 0.015527073293924332], [0.01213828008621931, 0.015028845518827438]]","[[0.17931398749351501, 0.14840029180049896], [0.20919190347194672, 0.24206134676933289]]"
"(10.321001674103542, 105.2598107235259)",Rice,"[[0.005011576693505049, 0.008195155300199986], [0.005231664981693029, 0.006627184338867664]]","[[0.11039482802152634, 0.07903861999511719], [0.16396664083003998, 0.1552041471004486]]"
"(10.32327281825184, 105.24073311268103)",Rice,"[[0.007841144688427448, 0.005032513756304979], [0.009405151009559631, 0.006185363978147507], [0.007717229891568422, 0.006108160596340895]]","[[0.3206459581851959, 0.2744132876396179], [0.3158184587955475, 0.18341544270515442], [0.2350188046693802, 0.10042653232812881]]"
"(10.324635504740822, 105.27843410554115)",Rice,"[[0.024366341531276703, 0.028887169435620308], [0.027886470779776573, 0.03508848324418068]]","[[0.2305966317653656, 0.316446989774704], [0.30757972598075867, 0.3344242572784424]]"
"(10.324181275911162, 105.2348281378957)",Rice,"[[0.005527731962502003, 0.002812736202031374], [0.004592621698975563, 0.004511108156293631], [0.008357904851436615, 0.008386234752833843]]","[[0.1884802132844925, 0.15233691036701202], [0.15119405090808868, 0.11368797719478607], [0.1625686138868332, 0.07601851969957352]]"
"(10.321455902933202, 105.23301122257715)",Rice,"[[0.0051185800693929195, 0.0048913499340415], [0.0030815673526376486, 0.0032566192094236612]]","[[0.2170553058385849, 0.14049112796783447], [0.20648859441280365, 0.207260400056839]]"
"(10.323727047081501, 105.26026495235556)",Rice,"[[0.00876547209918499, 0.008992359973490238, 0.008985164575278759], [0.015126217156648636, 0.011249504052102566, 0.012088281102478504]]","[[0.15911434590816498, 0.12388169765472412, 0.1263965368270874], [0.14059039950370789, 0.11181333661079407, 0.10768498480319977]]"
"(10.325089733570481, 105.28025102085971)",Rice,"[[0.019324708729982376, 0.015394309535622597], [0.01416775956749916, 0.01517013181000948]]","[[0.3756099343299866, 0.34727704524993896], [0.29243800044059753, 0.34326156973838806]]"
"(10.32009321644422, 105.23210276491787)",Rice,"[[0.008072013035416603, 0.010012378916144371], [0.013325863517820835, 0.011145372875034809]]","[[0.31726276874542236, 0.3332687318325043], [0.2796674370765686, 0.3020857274532318]]"
"(10.322364360592521, 105.27797987671151)",Rice,"[[0.021061867475509644, 0.00859968550503254, 0.00932126771658659], [0.028889164328575134, 0.010271922685205936, 0.010155640542507172]]","[[0.3029952943325043, 0.3632035553455353, 0.44377464056015015], [0.4834494888782501, 0.401970237493515, 0.33725687861442566]]"
"(10.32327281825184, 105.27752564788187)",Rice,"[[0.01080688089132309, 0.01116664707660675, 0.013427093625068665], [0.011543200351297855, 0.008740453980863094, 0.00896751880645752]]","[[0.4436160922050476, 0.485353022813797, 0.45559877157211304], [0.6662389636039734, 0.6221957802772522, 0.3879907429218292]]"
"(10.324635504740822, 105.2652614694816)",Rice,"[[0.0214927326887846, 0.020174110308289528], [0.01424012053757906, 0.015894217416644096]]","[[0.2778218686580658, 0.29497432708740234], [0.3421521484851837, 0.2802087664604187]]"
"(10.320547445273881, 105.2266520189622)",Rice,"[[0.003912136424332857, 0.003528184723109007, 0.006619423162192106], [0.0038814395666122437, 0.0028504054062068462, 0.003561971941962838]]","[[0.016092725098133087, 0.01893351599574089, 0.018617739900946617], [0.020598068833351135, 0.019668782129883766, 0.021750792860984802]]"
"(10.323727047081501, 105.2652614694816)",Rice,"[[0.006680675316601992, 0.007902483455836773], [0.005036511458456516, 0.007691777776926756]]","[[0.19832606613636017, 0.22905169427394867], [0.27950891852378845, 0.19515211880207062]]"
"(10.325089733570481, 105.23528236672536)",Rice,"[[0.011522887274622917, 0.010273955762386322], [0.008082378655672073, 0.007844380103051662], [0.005457597319036722, 0.006203123833984137]]","[[0.12544624507427216, 0.10839247703552246], [0.1030520498752594, 0.0955396220088005], [0.1551065891981125, 0.20491273701190948]]"
"(10.324635504740822, 105.26798684245944)",Rice,"[[0.0080141332000494, 0.010788751766085625], [0.013582934625446796, 0.016959823668003082]]","[[0.2184741050004959, 0.1890227049589157], [0.20230595767498016, 0.10426849871873856]]"
"(10.32281858942218, 105.26435301182232)",Rice,"[[0.016004182398319244, 0.012291149236261845], [0.018576035276055336, 0.020115604624152184]]","[[0.1821550577878952, 0.1950797438621521], [0.11263755708932877, 0.1925511509180069]]"
